sku,batch_no,quantity,mfg_date,expiry_date,status,received_date,product_name,supplier,disposed_at,disposed_by,expiry_dt
BB-10007,BN-BB-10007-01,151.0,2026-05-31,2028-04-02,active,2026-06-16,Awakening Aromatherapy Diffuser Oil,CareWell Distributors,,,2028-04-02
BB-10026,BN-BB-10026-01,251.0,2026-06-10,2028-04-09,active,2026-06-15,Sunscreen Lotion - Carrot,CareWell Distributors,,,2028-04-09
BB-10059,BN-BB-10059-01,0.0,2025-12-22,2026-06-17,disposed,2025-12-26,Green Chilli Rice Papad,SweetSource Regional,2026-06-28 20:41:54,USR002,2026-06-17
BB-10060,BN-BB-10060-01,11.0,2026-06-05,2027-02-10,disposed,2026-06-15,Coconut Water With Lychee,CleanHome Supplies,2026-07-13T04:26:06.621858+00:00,USR002,2027-02-10
BB-10064,BN-BB-10064-01,21.0,2026-06-03,2027-05-02,active,2026-06-16,Surface Cleaner - Jasmine,CleanHome Supplies,,,2027-05-02
BB-10073,BN-BB-10073-01,11.0,2026-06-07,2027-03-19,active,2026-06-16,Pitted  Black Olives,FruitKing South,,,2027-03-19
BB-10077,BN-BB-10077-01,11.0,2026-06-01,2026-07-09,disposed,2026-06-16,Sausage - Pork,GrainCo Vijayawada,2026-07-13T04:20:02.823963+00:00,USR002,2026-07-09
BB-10087,BN-BB-10087-01,12.0,2026-06-09,2028-05-27,active,2026-06-18,Amla Hair Repair Serum,CareWell Distributors,,,2028-05-27
BB-10088,BN-BB-10088-01,14.0,2026-06-10,2027-03-22,active,2026-06-18,Nilgiri White Tea - Sei,BevCorp India,,,2027-03-22
BB-10102,BN-BB-10102-01,10.0,2026-05-23,2027-01-21,active,2026-05-29,Spanish Olives Sliced Green,SeasonProof Gear,,,2027-01-21
BB-10106,BN-BB-10106-01,51.0,2026-06-01,2027-05-07,active,2026-06-17,Maxx Spin Mop With 2 Refills - Aqua Green,CleanHome Supplies,,,2027-05-07
BB-10118,BN-BB-10118-01,18.0,2026-06-10,2027-03-12,active,2026-06-20,Chocolate Hazelnut Spread,BakeMaster Artisans,,,2027-03-12
BB-10133,BN-BB-10133-01,15.0,2026-06-09,2028-04-13,active,2026-06-18,Hamsapadadi Kwath,CareWell Distributors,,,2028-04-13
BB-10136,BN-BB-10136-01,20.0,2026-06-27,2026-07-10,disposed,2025-09-28,Fizz - Lime Lemon Classic Cola 300 ml + Fizz - Lime Lemon 300 ml,BevCorp India,2026-07-13T04:27:07.193479+00:00,USR002,2026-07-10
BB-10157,BN-BB-10157-01,2020.0,2026-06-04,2026-11-19,active,2026-06-15,Margherita Pizza - Large,SweetSource Regional,,,2026-11-19
BB-10158,BN-BB-10158-01,334.0,2026-06-13,2026-11-28,active,2026-06-19,Tiger Chocolate Cream Biscuits,SweetSource Regional,,,2026-11-28
BB-10165,BN-BB-10165-01,2017.0,2026-06-10,2028-05-20,active,2026-06-19,Sanitizer - Original Germ Protection,CareWell Distributors,,,2028-05-20
BB-10173,BN-BB-10173-01,221.0,2026-06-07,2027-03-09,active,2026-06-19,Millet Based Nutrition Bar - Ginger & Raisin,OilTrade AP,,,2027-03-09
BB-10185,BN-BB-10185-01,1909.0,2026-06-11,2028-06-07,active,2026-06-20,Beard Kit,CareWell Distributors,,,2028-06-07
BB-10192,BN-BB-10192-01,254.0,2026-06-04,,active,2026-06-19,Magic Seal Round Plastic Oil Containers - Royal Blue,SeasonProof Gear,,,
BB-10199,BN-BB-10199-01,507.0,2026-06-12,2027-02-14,active,2026-06-16,Kiwi Drink,MedLife Wholesale,,,2027-02-14
BB-10212,BN-BB-10212-01,4803.0,2026-06-03,2028-03-30,active,2026-06-15,"Creme - Non Greasy Moisturizer Cream for Face, Body & Hands",CareWell Distributors,,,2028-03-30
BB-10223,BN-BB-10223-01,5053.0,2026-06-07,,active,2026-06-16,Basic Cup Set,FreshFarm Veg Market,,,
BB-1023,BN-BB-1023-01,434.0,2026-06-10,2026-12-11,active,2026-06-15,"Orbit Chewing Gum - Spearmint , Sugarfree",SweetSource Regional,,,2026-12-11
BB-10248,BN-BB-10248-01,245.0,2026-06-08,2028-05-25,active,2026-06-17,Luminosity - Anti Pigmentation Cream,CareWell Distributors,,,2028-05-25
BB-10257,BN-BB-10257-01,1113.0,2026-06-13,2027-05-29,active,2026-06-19,Baby Cottontouch Newborn Lotion,BabyBase Supplies,,,2027-05-29
BB-10263,BN-BB-10263-01,458.0,2026-04-26,2026-08-23,active,2026-05-07,Swiss Roll - Cream & Real Strawberry Jam,DairyBest Krishna,,,2026-08-23
BB-10280,BN-BB-10280-01,105.0,2026-06-10,2026-08-24,active,2026-06-17,Daily Fresh Dahi,DairyBest Krishna,,,2026-08-24
BB-10282,BN-BB-10282-01,368.0,2026-06-08,2027-02-10,active,2026-06-17,Aloe Vera Juice,CareWell Distributors,,,2027-02-10
BB-103,BN-BB-103-01,2322.0,2026-06-05,2028-07-03,active,2026-06-18,"Loofah/Sponge Scrubber/Body Bath - Dual Side, Hangable, Brown, BH-030 BR",CareWell Distributors,,,2028-07-03
BB-10306,BN-BB-10306-01,0.0,2024-06-22,2026-06-20,disposed,2024-06-29,All Natural Probiotics Shampoo Bar - For Normal Hair,CareWell Distributors,2026-06-28 20:42:35,USR002,2026-06-20
BB-10318,BN-BB-10318-01,439.0,2026-06-07,2027-06-14,active,2026-06-20,Scissors - Classic Cut,CleanHome Supplies,,,2027-06-14
BB-1032,BN-BB-1032-01,680.0,2026-06-03,2026-07-10,expired,2026-06-18,Coccinia,FruitKing South,,,2026-07-10
BB-10365,BN-BB-10365-01,202.0,2026-06-05,2027-05-24,active,2026-06-20,"508 Display File - F/S, 40 Leaves",CleanHome Supplies,,,2027-05-24
BB-10369,BN-BB-10369-01,900.0,2026-06-07,2027-06-10,active,2026-06-20,Active Baby Small (3-8 kg) - 46 Diapers,BabyBase Supplies,,,2027-06-10
BB-1037,BN-BB-1037-01,72.0,2026-06-08,2026-08-23,active,2026-06-20,Soy Milk Protein+ Original,DairyBest Krishna,,,2026-08-23
BB-10373,BN-BB-10373-01,2096.0,2026-06-04,2028-06-13,active,2026-06-18,Lavender Body Mist,CareWell Distributors,,,2028-06-13
BB-10374,BN-BB-10374-01,362.0,2026-06-09,2027-02-19,active,2026-06-18,Chips - Keralas Nendran Banana,CleanHome Supplies,,,2027-02-19
BB-10378,BN-BB-10378-01,1106.0,2026-06-07,2027-07-12,active,2026-06-17,Chia Seeds,GrainCo Vijayawada,,,2027-07-12
BB-10381,BN-BB-10381-01,962.0,2026-06-01,2028-06-09,active,2026-06-17,Hydrating Seaweed Pack,CareWell Distributors,,,2028-06-09
BB-10392,BN-BB-10392-01,1206.0,2026-06-06,2028-08-01,active,2026-06-17,Pain Relief Cream,CareWell Distributors,,,2028-08-01
BB-10419,BN-BB-10419-01,1355.0,2026-06-10,2027-06-09,active,2026-06-15,Gentle Baby Wipes - (SSC) IND Offer,BabyBase Supplies,,,2027-06-09
BB-10443,BN-BB-10443-01,3227.0,2026-06-03,2027-02-06,active,2026-06-15,Breakfast Protein Bar - Apricot & Fig,BakeMaster Artisans,,,2027-02-06
