InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
10000,GR011,Bananas 1 dozen,1,2025-07-01 20:47:00,50,2460
10000,GR007,Tea Powder 500g,4,2025-07-01 20:47:00,140,2460
10000,GR012,Potatoes 1kg,2,2025-07-01 20:47:00,30,2460
10001,GR009,Butter 100g,6,2025-04-01 22:38:00,60,1283
10001,GR015,Salt 1kg,4,2025-04-01 22:38:00,20,1283
10002,GR002,Bread,1,2025-04-18 04:41:00,40,3329
10002,GR010,Yogurt 200g,1,2025-04-18 04:41:00,25,3329
10003,GR009,Butter 100g,1,2025-01-20 23:46:00,60,2811
10004,GR003,Eggs Pack (12),2,2025-04-19 16:31:00,90,3880
10004,GR005,Sugar 1kg,2,2025-04-19 16:31:00,50,3880
10004,GR004,Basmati Rice 1kg,8,2025-04-19 16:31:00,120,3880
10004,GR013,Onions 1kg,1,2025-04-19 16:31:00,35,3880
10005,GR010,Yogurt 200g,2,2025-04-14 00:04:00,25,4099
10005,GR011,Bananas 1 dozen,7,2025-04-14 00:04:00,50,4099
10005,GR012,Potatoes 1kg,8,2025-04-14 00:04:00,30,4099
10005,GR006,Sunflower Oil 1L,8,2025-04-14 00:04:00,160,4099
10005,GR002,Bread,5,2025-04-14 00:04:00,40,4099
10005,GR007,Tea Powder 500g,1,2025-04-14 00:04:00,140,4099
10006,GR005,Sugar 1kg,7,2025-03-26 04:35:00,50,4899
10007,GR006,Sunflower Oil 1L,3,2025-03-23 04:00:00,160,4953
10007,GR007,Tea Powder 500g,7,2025-03-23 04:00:00,140,4953
10007,GR011,Bananas 1 dozen,8,2025-03-23 04:00:00,50,4953
10007,GR008,Wheat Flour 1kg,3,2025-03-23 04:00:00,55,4953
10007,GR010,Yogurt 200g,3,2025-03-23 04:00:00,25,4953
10008,GR005,Sugar 1kg,1,2025-05-27 10:09:00,50,2883
10008,GR012,Potatoes 1kg,3,2025-05-27 10:09:00,30,2883
10008,GR007,Tea Powder 500g,1,2025-05-27 10:09:00,140,2883
10008,GR008,Wheat Flour 1kg,2,2025-05-27 10:09:00,55,2883
10008,GR006,Sunflower Oil 1L,3,2025-05-27 10:09:00,160,2883
10008,GR014,Tomatoes 1kg,8,2025-05-27 10:09:00,40,2883
10009,GR007,Tea Powder 500g,5,2025-05-06 20:36:00,140,2588
10010,GR012,Potatoes 1kg,8,2025-07-14 09:55:00,30,3180
10010,GR008,Wheat Flour 1kg,8,2025-07-14 09:55:00,55,3180
10010,GR005,Sugar 1kg,4,2025-07-14 09:55:00,50,3180
10010,GR002,Bread,5,2025-07-14 09:55:00,40,3180
10010,GR015,Salt 1kg,6,2025-07-14 09:55:00,20,3180
10010,GR014,Tomatoes 1kg,4,2025-07-14 09:55:00,40,3180
10011,GR004,Basmati Rice 1kg,2,2025-02-06 17:37:00,120,2259
10011,GR014,Tomatoes 1kg,2,2025-02-06 17:37:00,40,2259
10011,GR015,Salt 1kg,7,2025-02-06 17:37:00,20,2259
10012,GR015,Salt 1kg,3,2025-05-21 11:21:00,20,3331
10012,GR004,Basmati Rice 1kg,8,2025-05-21 11:21:00,120,3331
10012,GR013,Onions 1kg,7,2025-05-21 11:21:00,35,3331
10012,GR008,Wheat Flour 1kg,4,2025-05-21 11:21:00,55,3331
10013,GR008,Wheat Flour 1kg,1,2025-06-29 11:51:00,55,3742
10013,GR009,Butter 100g,7,2025-06-29 11:51:00,60,3742
10014,GR013,Onions 1kg,4,2025-05-05 05:23:00,35,3540
10014,GR001,Milk 1L,8,2025-05-05 05:23:00,60,3540
10015,GR015,Salt 1kg,5,2025-05-11 12:20:00,20,4952
10015,GR007,Tea Powder 500g,7,2025-05-11 12:20:00,140,4952
10015,GR001,Milk 1L,8,2025-05-11 12:20:00,60,4952
10015,GR008,Wheat Flour 1kg,1,2025-05-11 12:20:00,55,4952
10015,GR004,Basmati Rice 1kg,1,2025-05-11 12:20:00,120,4952
10016,GR013,Onions 1kg,4,2025-05-25 16:13:00,35,4271
10016,GR006,Sunflower Oil 1L,1,2025-05-25 16:13:00,160,4271
