supplier_id,sku,category
SUP052,BB-10257,Baby Care
SUP051,BB-10257,Baby Care
SUP051,BB-10369,Baby Care
SUP052,BB-10369,Baby Care
SUP053,BB-10419,Baby Care
SUP051,BB-10419,Baby Care
SUP052,BB-10515,Baby Care
SUP053,BB-10515,Baby Care
SUP051,BB-10515,Baby Care
SUP051,BB-10996,Baby Care
SUP052,BB-10996,Baby Care
SUP053,BB-10996,Baby Care
SUP053,BB-110,Baby Care
SUP052,BB-110,Baby Care
SUP051,BB-110,Baby Care
SUP052,BB-11323,Baby Care
SUP053,BB-11323,Baby Care
SUP051,BB-11792,Baby Care
SUP052,BB-11792,Baby Care
SUP053,BB-12220,Baby Care
SUP051,BB-12220,Baby Care
SUP052,BB-12288,Baby Care
SUP053,BB-12288,Baby Care
SUP051,BB-1301,Baby Care
SUP052,BB-1301,Baby Care
SUP053,BB-1301,Baby Care
SUP053,BB-1303,Baby Care
SUP051,BB-1303,Baby Care
SUP052,BB-13130,Baby Care
SUP053,BB-13130,Baby Care
SUP051,BB-13148,Baby Care
SUP052,BB-13148,Baby Care
SUP053,BB-13148,Baby Care
SUP053,BB-13647,Baby Care
SUP051,BB-13647,Baby Care
SUP052,BB-13647,Baby Care
SUP052,BB-14614,Baby Care
SUP051,BB-14614,Baby Care
SUP051,BB-14685,Baby Care
SUP052,BB-14685,Baby Care
SUP053,BB-14685,Baby Care
SUP053,BB-16050,Baby Care
SUP051,BB-16050,Baby Care
SUP052,BB-16050,Baby Care
SUP052,BB-16284,Baby Care
SUP053,BB-16284,Baby Care
SUP051,BB-17185,Baby Care
SUP052,BB-17185,Baby Care
SUP053,BB-17185,Baby Care
SUP053,BB-17232,Baby Care
SUP051,BB-17232,Baby Care
SUP052,BB-17232,Baby Care
SUP052,BB-17341,Baby Care
SUP051,BB-17341,Baby Care
SUP051,BB-17812,Baby Care
SUP053,BB-17812,Baby Care
SUP053,BB-19375,Baby Care
SUP051,BB-19375,Baby Care
SUP052,BB-19375,Baby Care
SUP052,BB-19474,Baby Care
SUP053,BB-19474,Baby Care
SUP051,BB-20190,Baby Care
SUP052,BB-20190,Baby Care
SUP053,BB-22055,Baby Care
SUP051,BB-22055,Baby Care
SUP052,BB-22485,Baby Care
SUP053,BB-22485,Baby Care
SUP051,BB-22485,Baby Care
SUP051,BB-22996,Baby Care
SUP052,BB-22996,Baby Care
SUP053,BB-22996,Baby Care
SUP053,BB-2346,Baby Care
SUP051,BB-2346,Baby Care
SUP052,BB-2346,Baby Care
SUP052,BB-23514,Baby Care
SUP053,BB-23514,Baby Care
SUP051,BB-23514,Baby Care
SUP051,BB-23860,Baby Care
SUP052,BB-23860,Baby Care
SUP053,BB-23860,Baby Care
SUP053,BB-23909,Baby Care
SUP051,BB-23909,Baby Care
SUP052,BB-23909,Baby Care
SUP052,BB-25088,Baby Care
SUP053,BB-25088,Baby Care
SUP051,BB-25867,Baby Care
SUP052,BB-25867,Baby Care
SUP053,BB-25867,Baby Care
SUP053,BB-26135,Baby Care
SUP051,BB-26135,Baby Care
SUP052,BB-26135,Baby Care
SUP052,BB-26579,Baby Care
SUP051,BB-26579,Baby Care
SUP053,BB-26579,Baby Care
SUP051,BB-26892,Baby Care
SUP052,BB-26892,Baby Care
SUP053,BB-26892,Baby Care
SUP053,BB-27045,Baby Care
SUP051,BB-27045,Baby Care
SUP052,BB-27045,Baby Care
SUP052,BB-27373,Baby Care
SUP051,BB-27373,Baby Care
SUP053,BB-27373,Baby Care
SUP051,BB-27384,Baby Care
SUP052,BB-27384,Baby Care
SUP053,BB-3100,Baby Care
SUP051,BB-3100,Baby Care
SUP052,BB-3459,Baby Care
SUP053,BB-3459,Baby Care
SUP051,BB-3620,Baby Care
SUP052,BB-3620,Baby Care
SUP053,BB-3740,Baby Care
SUP051,BB-3740,Baby Care
SUP052,BB-4545,Baby Care
SUP053,BB-4545,Baby Care
SUP051,BB-4614,Baby Care
SUP052,BB-4614,Baby Care
SUP053,BB-501,Baby Care
SUP051,BB-501,Baby Care
SUP052,BB-501,Baby Care
SUP052,BB-5896,Baby Care
SUP053,BB-5896,Baby Care
SUP051,BB-6648,Baby Care
SUP053,BB-6648,Baby Care
SUP053,BB-6768,Baby Care
SUP051,BB-6768,Baby Care
SUP052,BB-6790,Baby Care
SUP051,BB-6790,Baby Care
SUP051,BB-6965,Baby Care
SUP052,BB-6965,Baby Care
SUP053,BB-6965,Baby Care
SUP053,BB-7726,Baby Care
SUP051,BB-7726,Baby Care
SUP052,BB-7726,Baby Care
SUP052,BB-8658,Baby Care
SUP053,BB-8658,Baby Care
SUP051,BB-8658,Baby Care
SUP051,BB-8784,Baby Care
SUP052,BB-8784,Baby Care
SUP053,BB-8791,Baby Care
SUP051,BB-8791,Baby Care
SUP052,BB-8791,Baby Care
SUP052,BB-9119,Baby Care
SUP053,BB-9119,Baby Care
SUP051,BB-9368,Baby Care
SUP053,BB-9368,Baby Care
SUP053,BB-9928,Baby Care
SUP051,BB-9928,Baby Care
SUP052,BB-9928,Baby Care
SUP047,BB-10263,"Bakery, Cakes & Dairy"
SUP048,BB-10263,"Bakery, Cakes & Dairy"
SUP049,BB-10263,"Bakery, Cakes & Dairy"
SUP050,BB-10280,"Bakery, Cakes & Dairy"
SUP047,BB-10280,"Bakery, Cakes & Dairy"
SUP048,BB-10280,"Bakery, Cakes & Dairy"
SUP049,BB-1037,"Bakery, Cakes & Dairy"
SUP050,BB-1037,"Bakery, Cakes & Dairy"
SUP048,BB-10592,"Bakery, Cakes & Dairy"
SUP049,BB-10592,"Bakery, Cakes & Dairy"
SUP047,BB-10863,"Bakery, Cakes & Dairy"
SUP050,BB-10863,"Bakery, Cakes & Dairy"
SUP050,BB-11230,"Bakery, Cakes & Dairy"
SUP047,BB-11230,"Bakery, Cakes & Dairy"
SUP049,BB-12118,"Bakery, Cakes & Dairy"
SUP048,BB-12118,"Bakery, Cakes & Dairy"
SUP048,BB-1232,"Bakery, Cakes & Dairy"
SUP049,BB-1232,"Bakery, Cakes & Dairy"
SUP050,BB-1232,"Bakery, Cakes & Dairy"
SUP047,BB-1232,"Bakery, Cakes & Dairy"
SUP047,BB-12818,"Bakery, Cakes & Dairy"
SUP048,BB-12818,"Bakery, Cakes & Dairy"
SUP049,BB-12818,"Bakery, Cakes & Dairy"
SUP050,BB-12818,"Bakery, Cakes & Dairy"
SUP050,BB-13288,"Bakery, Cakes & Dairy"
